Abbot Laboratories ,Abbott Laboratories,0.85
Allianz ,Allianz SE,0.736842105263
Amazon.com ,Amazon.com, Inc.,0.714285714286
American International Group ,American International Group, Inc,0.8
Ameriprise Financial ,Ameriprise Financial, Inc.,0.775510204082
Assa Abloy ,AssaAbloy,0.818181818182
Avalonbay Communities ,Avalonbay Communities, Inc.,0.78431372549
Ayala Corporation ,Ball Corporation,0.722222222222
Ayala Corporation ,Zale Corporation,0.722222222222
Ayala Corporation ,Pall Corporation,0.722222222222
Ayala Corporation ,Azbil Corporation,0.702702702703
Banco Bradesco ,Banco Bradesco S/A.,0.722222222222
Banco Comercial Portugues ,Banco Comercial PortugueÌ‚s, S.A.,0.707692307692
Banco Davivienda ,Banco Davivienda,0.857142857143
Bank of Montreal ,Bank Of Montreal,0.722222222222
Berkshire Hathaway ,Berkshire Hathaway Inc.,0.772727272727
BioMarin Pharmaeutical ,Biomarin Pharmaceutical Inc.,0.754716981132
BS Financial Group ,SSQ Financial Group,0.731707317073
Cardinal Health ,Cardinal Health, Inc.,0.717948717949
Caterpillar ,Caterpillar Inc.,0.758620689655
CCR ,CCR,0.75
CenterPoint Energy ,Centerpoint Energy, Inc.,0.711111111111
Charter Communications ,Charter Communications,0.893617021277
Charter Communications ,Canprint Communications,0.75
China Taiping Insurance ,China Taiping Insurance Group Co,0.71186440678
Citigroup ,Citigroup Inc.,0.72
Commercial International Bank ,Commercial Bank International,0.741935483871
Constellation Brands ,Constellation Brands, Inc.,0.775510204082
Credit Suisse Group ,Credit Suisse Group AG,0.755555555556
Cullen/Frost Bankers ,Cullen/Frost Bankers, Inc.,0.775510204082
Darden Restaurants ,Darden Restaurants, Inc.,0.755555555556
Dassault Systemes ,Dassault Systemes,0.864864864865
Deutsche Lufthansa ,Deutsche Lufthansa AG,0.809523809524
Deutsche Post ,Deutsche Post AG,0.75
Deutsche Telekom ,Deutsche Telekom AG,0.789473684211
Dick's Sporting Goods ,Dicks Sporting Goods, Inc.,0.705882352941
Discover Financial Services ,Discover Financial Services,0.862068965517
Edison International ,Edison International,0.883720930233
Emerson Electric ,Emerson Electric Co.,0.769230769231
Empire ,Empired,0.8
Ericsson ,Ericsson AB,0.761904761905
Erste Group Bank ,Erste Group Bank AG,0.717948717949
Essilor International ,Edison International,0.727272727273
Expeditors International ,Edison International,0.723404255319
Express Scripts ,Express Scripts, Inc.,0.717948717949
Fidelity National Information ,Fidelity National Information Services, Inc.,0.701298701299
Fosun International ,Edison International,0.714285714286
Frontier Communications ,Charter Communications,0.75
GDF SUEZ ,GDF SUEZ,0.736842105263
Gilead Sciences ,Gilead Sciences, Inc.,0.717948717949
Givaudan ,Givaudan SA,0.761904761905
H&M ,H&M,0.75
Harley Davidson ,Harley-Davidson, Inc.,0.717948717949
HCL Technologies ,HCL Technologies (EMEA),0.714285714286
HCL Technologies ,HCL Technologies (APJ),0.731707317073
Helvetia Holding ,Helvetia Holding AG,0.789473684211
Hexagon ,Hexagon AB,0.736842105263
Honeywell International ,Honeywell International Inc.,0.814814814815
Huntington Ingals Industries ,Huntington Ingalls Industries, Inc.,0.776119402985
Huntington Ingals Industries ,Huntington Ingalls Industries,0.852459016393
IntercontinentalExchange ,Intercontinentalexchange, Inc.,0.821428571429
International Airlines ,International Airlines Group (IAG),0.71186440678
International Paper ,International Paper Company,0.734693877551
Intuitive Surgical ,Intuitive Surgical, Inc.,0.755555555556
Johnson Controls ,Johnson Controls, Inc.,0.731707317073
KeyCorp ,Keycorp,0.75
Liberty Global ,Liberty Global,0.838709677419
LIG Insurance ,AG Insurance,0.714285714286
London Stock Exchange ,London Stock Exchange,0.826086956522
Magna International ,Magna International Inc,0.8
Marathon Petroleum ,Marathon Petroleum,0.871794871795
Mastercard ,MasterCard,0.818181818182
Monsanto ,Monsanto,0.888888888889
Morgan Stanley ,Morgan Stanley,0.838709677419
Natixis ,Natixis,0.875
Newell Rubbermaid ,Newell Rubbermaid Inc.,0.761904761905
Nordea Bank ,Nordea Bank AB,0.714285714286
Novatek ,Novatel,0.75
Old Republic International ,Old Republic International Corporation,0.705882352941
Oracle ,Oracle,0.857142857143
OTP Bank ,OTP Bank,0.736842105263
Pharmacyclics ,Pharmacyclics,0.928571428571
Philips ,Phillips66,0.736842105263
Phillilps 66 ,Phillips66,0.8
Pioneer Natural Resources ,Pioneer Natural Resources Company,0.741935483871
Raymond James Financial ,Raymond James Financial, Inc.,0.75
Republic Services ,Republic Services, Inc.,0.744186046512
Roche Holding ,Roche Holding AG,0.75
Rockwell Collins ,Rockwell Collins, Inc.,0.731707317073
Rogers Communications ,Rogers Communications Inc,0.816326530612
Rogers Communications ,Sorenson Communications,0.723404255319
Royal Bank of Canada ,Royal Bank Of Canada,0.711111111111
Salesforce.com ,Salesforce.com, Inc.,0.777777777778
Sempra Energy ,Sempra Energy,0.827586206897
Shaw Communications ,Charter Communications,0.727272727273
SunTrust Banks ,SunTrust Banks, Inc.,0.702702702703
Supervalu ,Supervalu Inc.,0.72
SVB Financial Group ,SSQ Financial Group,0.714285714286
Swisscom ,Swisscom,0.888888888889
Tata Consultancy Services ,Tata Consultancy Services (AP&J),0.754098360656
Tata Consultancy Services ,Tata Consultancy Services (EMEA),0.754098360656
Telfonica ,O2 Telefonica,0.75
Teliasonera ,TeliaSonera AB,0.740740740741
Thermo Fisher Scientific ,Thermo Fisher Scientific Inc.,0.771929824561
TRW Automotive Holdings ,TRW Automotive Holdings Corp.,0.75
United Parcel Service ,United Parcel Service, Inc.,0.730769230769
US Bancorp ,U.S. Bancorp,0.72
Verizon Communication ,Verizon Communications Inc.,0.78431372549
Viacom ,Viacom,0.857142857143
Zurich Insurance Group ,Zurich Insurance Group AG,0.78431372549
Xerox ,Xero,0.727272727273
